Uthmani,Simple
ٱلْخَٰسِرِينَ,الخاسرين
وَلَقَدْ,ولقد
عَلِمْتُمُ,علمتم
ٱعْتَدَوْا۟,اعتدوا
مِنكُمْ,منكم
ٱلسَّبْتِ,السبت
كُونُوا۟,كونوا
قِرَدَةً,قردة
خَٰسِـِٔينَ,خاسئين
فَجَعَلْنَٰهَا,فجعلناها
نَكَٰلًا,نكالا
بَيْنَ,بين
يَدَيْهَا,يديها
خَلْفَهَا,خلفها
وَمَوْعِظَةً,وموعظة
لِقَوْمِهِۦٓ,لقومه
يَأْمُرُكُمْ,يأمركم
تَذْبَحُوا۟,تذبحوا
بَقَرَةً,بقرة
أَتَتَّخِذُنَا,أتتخذنا
هُزُوًا,هزوا
أَعُوذُ,أعوذ
أَنْ,أن
أَكُونَ,أكون
ٱلْجَٰهِلِينَ,الجاهلين
ٱدْعُ,ادع
يُبَيِّن,يبين
لَّنَا,لنا
هِىَ,هي
إِنَّهَا,إنها
بَقَرَةٌ,بقرة
فَارِضٌ,فارض
بِكْرٌ,بكر
عَوَانٌۢ,عوان
فَٱفْعَلُوا۟,فافعلوا
تُؤْمَرُونَ,تؤمرون
لَوْنُهَا,لونها
صَفْرَآءُ,صفراء
فَاقِعٌ,فاقع
لَّوْنُهَا,لونها
تَسُرُّ,تسر
ٱلنَّٰظِرِينَ,الناظرين
ٱلْبَقَرَ,البقر
تَشَٰبَهَ,تشابه
عَلَيْنَا,علينا
وَإِنَّآ,وإنا
لَمُهْتَدُونَ,لمهتدون
ذَلُولٌ,ذلول
تُثِيرُ,تثير
تَسْقِى,تسقي
ٱلْحَرْثَ,الحرث
مُسَلَّمَةٌ,مسلمة
شِيَةَ,شية
ٱلْـَٰٔنَ,الآن
جِئْتَ,جئت
بِٱلْحَقِّ,بالحق
فَذَبَحُوهَا,فذبحوها
كَادُوا۟,كادوا
يَفْعَلُونَ,يفعلون
قَتَلْتُمْ,قتلتم
نَفْسًا,نفسا
فَٱدَّٰرَْٰٔتُمْ,فادارأتم
مُخْرِجٌ,مخرج
ٱضْرِبُوهُ,اضربوه
بِبَعْضِهَا,ببعضها
كَذَٰلِكَ,كذلك
يُحْىِ,يحيي
ٱلْمَوْتَىٰ,الموتى
وَيُرِيكُمْ,ويريكم
ءَايَٰتِهِۦ,آياته
قَسَتْ,قست
قُلُوبُكُم,قلوبكم
فَهِىَ,فهي
كَٱلْحِجَارَةِ,كالحجارة
أَشَدُّ,أشد
قَسْوَةً,قسوة
وَإِنَّ,وإن
ٱلْحِجَارَةِ,الحجارة
لَمَا,لما
يَتَفَجَّرُ,يتفجر
يَشَّقَّقُ,يشقق
فَيَخْرُجُ,فيخرج
ٱلْمَآءُ,الماء
يَهْبِطُ,يهبط
مِنْ,من
خَشْيَةِ,خشية
بِغَٰفِلٍ,بغافل
عَمَّا,عما
تَعْمَلُونَ,تعملون
أَفَتَطْمَعُونَ,أفتطمعون
يُؤْمِنُوا۟,يؤمنوا
وَقَدْ,وقد
كَانَ,كان
فَرِيقٌ,فريق
مِّنْهُمْ,منهم
يَسْمَعُونَ,يسمعون
كَلَٰمَ,كلام
يُحَرِّفُونَهُۥ,يحرفونه
عَقَلُوهُ,عقلوه
خَلَا,خلا
بَعْضُهُمْ,بعضهم
بَعْضٍ,بعض
أَتُحَدِّثُونَهُم,أتحدثونهم
فَتَحَ,فتح
لِيُحَآجُّوكُم,ليحاجوكم
رَبِّكُمْ,ربكم
أَوَلَا,أولا
يَعْلَمُ,يعلم
يُسِرُّونَ,يسرون
يُعْلِنُونَ,يعلنون
وَمِنْهُمْ,ومنهم
أُمِّيُّونَ,أميون
أَمَانِىَّ,أماني
وَإِنْ,وإن
فَوَيْلٌ,فويل
لِّلَّذِينَ,للذين
يَكْتُبُونَ,يكتبون
بِأَيْدِيهِمْ,بأيديهم
يَقُولُونَ,يقولون
عِندِ,عند
لِيَشْتَرُوا۟,ليشتروا
لَّهُم,لهم
كَتَبَتْ,كتبت
أَيْدِيهِمْ,أيديهم
وَوَيْلٌ,وويل
يَكْسِبُونَ,يكسبون
وَقَالُوا۟,وقالوا
تَمَسَّنَا,تمسنا
ٱلنَّارُ,النار
أَيَّامًا,أياما
مَّعْدُودَةً,معدودة
قُلْ,قل
أَتَّخَذْتُمْ,أتخذتم
عَهْدًا,عهدا
فَلَن,فلن
يُخْلِفَ,يخلف
عَهْدَهُۥٓ,عهده
تَقُولُونَ,تقولون
بَلَىٰ,بلى
كَسَبَ,كسب
سَيِّئَةً,سيئة
وَأَحَٰطَتْ,وأحاطت
خَطِيٓـَٔتُهُۥ,خطيئته
فَأُو۟لَٰٓئِكَ,فأولئك
ٱلْجَنَّةِ,الجنة
مِيثَٰقَ,ميثاق
بَنِىٓ,بني
تَعْبُدُونَ,تعبدون
وَبِٱلْوَٰلِدَيْنِ,وبالوالدين
إِحْسَانًا,إحسانا
وَذِى,وذي
ٱلْقُرْبَىٰ,القربى
وَٱلْيَتَٰمَىٰ,واليتامى
وَٱلْمَسَٰكِينِ,والمساكين
لِلنَّاسِ,للناس
حُسْنًا,حسنا
تَوَلَّيْتُمْ,توليتم
مِّنكُمْ,منكم
وَأَنتُم,وأنتم
مُّعْرِضُونَ,معرضون
تَسْفِكُونَ,تسفكون
دِمَآءَكُمْ,دماءكم
تُخْرِجُونَ,تخرجون
دِيَٰرِكُمْ,دياركم
أَقْرَرْتُمْ,أقررتم
تَشْهَدُونَ,تشهدون
أَنتُمْ,أنتم
تَقْتُلُونَ,تقتلون
وَتُخْرِجُونَ,وتخرجون
فَرِيقًا,فريقا
مِّنكُم,منكم
دِيَٰرِهِمْ,ديارهم
تَظَٰهَرُونَ,تظاهرون
عَلَيْهِم,عليهم
